class,precision,recall,f1-score,support
DW_CHAP,0.7522935779816514,0.7256637168141593,0.7387387387387387,226.0
DW_LANT,0.7168458781362007,0.9433962264150944,0.814663951120163,212.0
DW_PARK,0.8571428571428571,0.9411764705882353,0.897196261682243,204.0
DW_PART,0.7796610169491526,0.863849765258216,0.8195991091314031,213.0
DW_PRAC,0.7868852459016393,0.9142857142857143,0.8458149779735683,210.0
DW_RUBV,0.6851851851851852,0.9487179487179487,0.7956989247311828,195.0
DW_SIWE,0.6180758017492711,0.9724770642201835,0.7557932263814616,218.0
DW_SNWE,0.5793103448275863,0.8615384615384616,0.6927835051546392,195.0
DW_NEG,0.9800142755174875,0.7494541484716157,0.8493659140117538,1832.0
accuracy,0.818830242510699,0.818830242510699,0.818830242510699,0.818830242510699
macro avg,0.7506015759323368,0.8800621684788477,0.801072734325017,3505.0
weighted avg,0.8573077950862349,0.818830242510699,0.8233788465744571,3505.0
