class,precision,recall,f1-score,support
DW_CHAP,0.8636363636363636,0.588495575221239,0.7,226.0
DW_LANT,0.7619047619047619,0.9056603773584906,0.8275862068965517,212.0
DW_PARK,0.9523809523809523,0.7843137254901961,0.8602150537634409,204.0
DW_PART,0.8601398601398601,0.5774647887323944,0.6910112359550562,213.0
DW_PRAC,0.8653846153846154,0.6428571428571429,0.7377049180327869,210.0
DW_RUBV,0.8026315789473685,0.9384615384615385,0.8652482269503546,195.0
DW_SIWE,0.7636363636363637,0.963302752293578,0.8519269776876268,218.0
DW_SNWE,0.6816326530612244,0.8564102564102564,0.759090909090909,195.0
DW_NEG,0.8715498938428875,0.8962882096069869,0.883745963401507,1832.0
accuracy,0.8402282453637661,0.8402282453637661,0.8402282453637661,0.8402282453637661
macro avg,0.824766338103822,0.794806040714647,0.7973921657531371,3505.0
weighted avg,0.8469373921445004,0.8402282453637661,0.8367259316663718,3505.0
