class,precision,recall,f1-score,support
DW_CHAP,0.584375,0.827433628318584,0.684981684981685,226.0
DW_LANT,0.7404580152671756,0.9150943396226415,0.8185654008438819,212.0
DW_PARK,0.8780487804878049,0.8823529411764706,0.8801955990220048,204.0
DW_PART,0.937888198757764,0.7089201877934272,0.8074866310160428,213.0
DW_PRAC,0.6815068493150684,0.9476190476190476,0.7928286852589641,210.0
DW_RUBV,0.7459016393442623,0.9333333333333333,0.8291571753986332,195.0
DW_SIWE,0.7728937728937729,0.9678899082568807,0.8594704684317719,218.0
DW_SNWE,0.5940959409594095,0.8256410256410256,0.6909871244635193,195.0
DW_NEG,0.969532836831415,0.7816593886462883,0.8655182834693261,1832.0
accuracy,0.8265335235378032,0.8265335235378032,0.8265335235378032,0.8265335235378032
macro avg,0.7671890037618525,0.865549311156411,0.8032434503206477,3505.0
weighted avg,0.8607785885514787,0.8265335235378032,0.831900855978061,3505.0
