true,predicted,count
DW_PART,DW_NEG,71
DW_PRAC,DW_NEG,58
DW_NEG,DW_SIWE,50
DW_PARK,DW_NEG,40
DW_NEG,DW_LANT,39
DW_CHAP,DW_NEG,36
DW_CHAP,DW_SNWE,36
DW_NEG,DW_SNWE,31
DW_NEG,DW_RUBV,31
DW_NEG,DW_PRAC,18
DW_CHAP,DW_LANT,13
DW_SNWE,DW_NEG,12
DW_RUBV,DW_NEG,10
DW_NEG,DW_CHAP,10
DW_LANT,DW_NEG,9
DW_NEG,DW_PART,7
DW_PRAC,DW_PART,7
DW_SNWE,DW_LANT,6
DW_SIWE,DW_NEG,6
DW_PART,DW_CHAP,5
DW_LANT,DW_SIWE,5
DW_CHAP,DW_SIWE,4
DW_LANT,DW_SNWE,4
DW_NEG,DW_PARK,4
DW_PART,DW_SNWE,4
DW_SNWE,DW_CHAP,4
DW_SNWE,DW_SIWE,4
DW_PRAC,DW_RUBV,4
DW_PART,DW_RUBV,4
DW_PARK,DW_PART,3
DW_CHAP,DW_RUBV,3
DW_SNWE,DW_PART,2
DW_PART,DW_PRAC,2
DW_PRAC,DW_PARK,2
DW_LANT,DW_RUBV,2
DW_PART,DW_PARK,2
DW_PRAC,DW_SNWE,2
DW_CHAP,DW_PRAC,1
DW_PARK,DW_RUBV,1
DW_PART,DW_LANT,1
DW_RUBV,DW_PART,1
DW_PRAC,DW_SIWE,1
DW_PRAC,DW_CHAP,1
DW_PART,DW_SIWE,1
DW_RUBV,DW_CHAP,1
DW_SIWE,DW_SNWE,1
DW_SIWE,DW_LANT,1
